Identity,Members
Admin Department,Alice_Admin@gaoyuanzhang.onmicrosoft.com
Admin Department,bob@gaoyuanzhang.onmicrosoft.com
Admin Department,charlie@gaoyuanzhang.onmicrosoft.com
Admin Department,Iloveeddiebear@gaoyuanzhang.onmicrosoft.com
Admin Department,liam@gaoyuanzhang.onmicrosoft.com
Admin Department,olivia@gaoyuanzhang.onmicrosoft.com
IT Department,alice@gaoyuanzhang.onmicrosoft.com
IT Department,Eddie_IT@gaoyuanzhang.onmicrosoft.com
IT Department,z_eddie@gaoyuanzhang.onmicrosoft.com
IT Department,ethan@gaoyuanzhang.onmicrosoft.com
IT Department,GaoyuanZhang@gaoyuanzhang.onmicrosoft.com
IT Department,itintern01@gaoyuanzhang.onmicrosoft.com
IT Department,noah@gaoyuanzhang.onmicrosoft.com
IT Department,sophia@gaoyuanzhang.onmicrosoft.com
Employee Department,ava@gaoyuanzhang.onmicrosoft.com
Employee Department,bob_Employee@gaoyuanzhang.onmicrosoft.com
Employee Department,eddie@gaoyuanzhang.onmicrosoft.com
Employee Department,isabella@gaoyuanzhang.onmicrosoft.com
Employee Department,william@gaoyuanzhang.onmicrosoft.com
