"DisplayName","UserPrincipalName","Department","JobTitle","AccountEnabled","LicenseStatus","GroupMemberships"
"Admin Shared Mailbox","Admin@gaoyuanzhang.onmicrosoft.com",,,,"Licensed",""
"Alice Wang","alice@gaoyuanzhang.onmicrosoft.com",,"Helpdesk Assistant",,"Licensed","IT Department"
"Alice","Alice_Admin@gaoyuanzhang.onmicrosoft.com",,,,"Licensed","Global Administrator, Admin Department"
"Ava Lin","ava@gaoyuanzhang.onmicrosoft.com",,"Customer Service Representative",,"Licensed","Employee Department"
"Bob Chen","bob@gaoyuanzhang.onmicrosoft.com",,,,"Licensed","Admin Department"
"bob","bob_Employee@gaoyuanzhang.onmicrosoft.com",,,,"Licensed","Employee Department"
"Charlie Zhang","charlie@gaoyuanzhang.onmicrosoft.com",,"Finance Assistant",,"Licensed","Admin Department"
"Eddie Gao","eddie@gaoyuanzhang.onmicrosoft.com",,"Office Assistant",,"Licensed","Employee Department"
"Eddie","Eddie_IT@gaoyuanzhang.onmicrosoft.com",,"IT_Staff",,"Licensed","Helpdesk Administrator, IT Department"
"Employee Shared Mailbox","Employee1@gaoyuanzhang.onmicrosoft.com",,,,"Licensed",""
"Ethan Liu","ethan@gaoyuanzhang.onmicrosoft.com",,"Network Engineer",,"Licensed","IT Department"
"Gaoyuan Zhang","GaoyuanZhang@gaoyuanzhang.onmicrosoft.com",,,,"Licensed","Global Administrator, IT Department"
"Kalifa Clarke","Iloveeddiebear@gaoyuanzhang.onmicrosoft.com",,,,"Licensed","Admin Department"
"Isabella Fang","isabella@gaoyuanzhang.onmicrosoft.com",,"Marketing Coordinator",,"Licensed","Employee Department"
"IT Shared Mailbox","IT@gaoyuanzhang.onmicrosoft.com",,,,"Licensed",""
"IT Intern 01","itintern01@gaoyuanzhang.onmicrosoft.com",,"Helpdesk Trainee",,"Licensed","IT Department"
"Liam Zhang","liam@gaoyuanzhang.onmicrosoft.com",,"Operations Manager",,"Licensed","Admin Department"
"Noah Sun","noah@gaoyuanzhang.onmicrosoft.com",,"Cloud Engineer",,"Licensed","IT Department"
"Olivia Chen","olivia@gaoyuanzhang.onmicrosoft.com",,"System Administrator",,"Licensed","Admin Department"
"Sophia Wang","sophia@gaoyuanzhang.onmicrosoft.com",,"IT Support Specialist",,"Licensed","IT Department"
"William Guo","william@gaoyuanzhang.onmicrosoft.com",,"Sales Associate",,"Licensed","Employee Department"
"Eddie Zhang","z_eddie@gaoyuanzhang.onmicrosoft.com",,,,"Licensed","Global Administrator, IT Department"
